gene ID,Base Mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj
vnz_00465,2.4961219,3.664673975,1.6258759,2.2539691,0.0241981,0.0555283
vnz_00470,6.4906953,2.999603418,1.0027321,2.9914306,0.0027767,0.0090198
vnz_00475,23.934704,4.160663887,0.6431283,6.469415,9.84E-11,2.08E-09
vnz_00480,71.105714,-0.875046302,0.5227572,-1.6739059,0.0941491,0.1651534
vnz_00485,16.353007,-1.046740476,0.7001613,-1.4949991,0.1349147,0.2192215
vnz_00490,25.128939,0.59021815,0.5808825,1.0160715,0.3095953,0.4177098
vnz_00495,98.967514,-0.565096681,0.5991244,-0.9432042,0.3455765,0.4548392
vnz_00500,2.7745069,4.190776163,1.3755288,3.0466655,0.002314,0.007693
vnz_00505,0.3968247,1.001398599,1.6905346,0.5923562,0.5536121,0.6521836
vnz_00510,2.6487788,6.432643068,1.6070763,4.0026993,6.26E-05,0.0003583
vnz_00520,52.475226,0.509048958,0.4714277,1.0798029,0.28023,0.3871695
vnz_00525,108.73265,-0.114393633,0.4063168,-0.281538,0.7782978,0.8409956
vnz_00530,14.773086,0.509540307,0.6217656,0.8195055,0.4124981,0.5215721
vnz_00535,11.748344,2.009165202,0.7702453,2.6084746,0.0090947,0.0245863
vnz_00540,19.781673,1.281796026,0.5852866,2.1900315,0.028522,0.0631686
vnz_00545,18.070629,-0.197895134,0.6474246,-0.3056651,0.7598596,0.8262239
vnz_00550,9.7021425,1.551368642,0.7328307,2.1169536,0.0342638,0.0733484
vnz_00555,3.1172818,2.158980125,1.2877215,1.6765894,0.0936228,0.1645448
vnz_00560,5.9524871,5.02832937,1.0380786,4.8438811,1.27E-06,1.22E-05
vnz_00565,5.7497209,4.169793015,1.0097719,4.1294405,3.64E-05,0.0002248
vnz_00570,6.2901604,5.397382315,1.0438705,5.1705478,2.33E-07,2.62E-06
vnz_00575,9.6018604,4.106002317,0.8491493,4.8354301,1.33E-06,1.27E-05
vnz_00580,25.343906,-0.107188124,0.5703148,-0.1879455,0.8509193,0.8942729
vnz_00585,2.3867862,1.68810172,1.4023559,1.2037613,0.2286819,0.3318253
vnz_00590,1.0760329,1.877669054,1.8008505,1.0426568,0.2971073,0.4045669
vnz_00595,18.00616,-0.104169362,0.6146659,-0.1694731,8.65E-01,0.9042262
vnz_00600,1.3935091,3.564601801,1.6102341,2.2137165,0.0268483,0.0603145
vnz_00605,4.4714826,2.377912525,1.1517374,2.0646308,0.0389579,0.0816874
vnz_00610,4.7294885,1.125809371,1.1738917,0.9590403,0.3375385,0.4463338
vnz_00615,12.271757,1.231770064,0.7924546,1.554373,0.1200955,0.1996801
vnz_00620,9.0355931,0.384973249,0.7573499,0.5083163,0.6112316,0.7039388
vnz_00625,24.220208,0.145646046,0.5850754,0.2489355,0.8034107,0.8600199
vnz_00630,41.128498,-1.098026589,0.4765071,-2.3043239,0.0212045,0.0498881
vnz_00635,12.338559,-1.27258057,0.7128657,-1.7851618,0.0742351,0.1367694
vnz_00640,343.95108,-3.240480685,0.4949827,-6.5466542,5.88E-11,1.32E-09
vnz_00645,8.4865071,0.880073974,0.7963757,1.1050989,0.2691167,0.3756921
vnz_00650,13.113912,0.769719537,0.6808018,1.1306074,0.2582204,0.3633043
vnz_00655,17.562689,1.36222107,0.5439762,2.5041926,0.0122731,0.0316676
vnz_00660,26.801488,0.11988081,0.5001006,0.2397134,0.8105525,0.8649338
vnz_00665,2.130498,1.142770658,1.3352215,0.855866,0.3920719,0.5009052
vnz_00670,91.909549,0.169497225,0.521067,0.3252888,0.7449625,0.8139324
vnz_00675,6.1085441,0.710384513,0.891246,0.7970689,0.425411,0.5347775
vnz_00680,5.993793,1.969729398,1.0247147,1.9222223,0.0545778,0.1072334
vnz_00685,11.419484,-0.692990891,0.7700103,-0.8999761,0.368133,0.4771086
vnz_00690,21.232902,3.545590496,0.5979233,5.9298417,3.03E-09,4.85E-08
vnz_00695,4.3792701,-0.52461709,1.0307237,-0.5089794,0.6107667,0.7038632
vnz_00700,8.9455371,0.636620832,0.8399566,0.7579211,0.4484982,0.556298
vnz_00705,13.033217,1.976651804,0.8271338,2.3897606,0.0168594,0.0414117
vnz_00710,91.120786,-0.449290232,0.4462444,-1.0068255,0.3140186,0.4222851
vnz_00715,12.057878,-0.020511044,0.7353359,-0.0278934,9.78E-01,9.85E-01
vnz_00720,12.412171,1.278610675,0.7511348,1.7022387,0.0887106,0.1575924
vnz_00725,15.046807,1.690225693,0.7295581,2.3167802,0.0205157,0.0486093
vnz_00735,18.755551,1.059210713,0.5568766,1.9020565,0.0571638,0.1112102
vnz_00740,4.5842352,2.261289583,1.0299111,2.1956163,0.0281194,0.0625404
vnz_00745,2.402956,3.420246706,1.2881575,2.6551464,0.0079274,0.0219299
vnz_00750,28.351568,1.132523938,0.4635996,2.4428923,0.0145701,0.036507
vnz_00755,10.344525,2.643526063,0.7687857,3.4385734,0.0005848,0.002465
vnz_00760,33.413382,0.430545236,0.6199905,0.6944384,0.4874073,0.5923861
vnz_00765,18.187566,2.179906102,0.796659,2.73631,0.0062132,0.0177756
vnz_00770,9.6304159,2.231524161,0.9189445,2.4283557,0.0151675,0.0378877
vnz_00775,6.811557,2.734012618,0.8994736,3.0395698,0.0023692,0.0078376
vnz_00780,4.4989198,3.114627818,1.0483179,2.9710718,0.0029676,0.0095098
vnz_00785,6.7375355,2.898806774,1.0894279,2.6608523,0.0077943,0.0215942
vnz_00790,8.6155719,5.404744891,0.9255921,5.8392296,5.24E-09,8.18E-08
vnz_00795,8.6760449,4.080595885,0.95247,4.2842251,1.83E-05,0.0001239
vnz_00800,7.0044387,5.00800904,0.9652335,5.1883913,2.12E-07,2.41E-06
vnz_00805,7.166026,6.344796015,1.1545085,5.4956686,3.89E-08,5.07E-07
vnz_00810,10.914998,4.439842934,0.8086118,5.4906979,4.00E-08,5.20E-07
vnz_00815,16.886631,-0.630558321,0.6705407,-0.940373,0.3470263,0.4564211
vnz_00820,4.0372308,5.352854901,1.1260471,4.7536687,2.00E-06,1.80E-05
vnz_00825,14.50122,2.687026712,0.7324174,3.6687093,0.0002438,0.0011612
vnz_00830,4.1596801,3.386834737,1.0760668,3.1474204,0.0016472,0.0057927
vnz_00835,14.442471,3.203563133,0.7551787,4.2421258,2.21E-05,0.0001458
vnz_00840,24.622081,0.28966848,0.5945037,0.4872442,0.6260853,0.7166939
vnz_00845,6.1320366,2.137669339,0.906782,2.3574237,0.0184022,0.0445477
vnz_00850,3.3761679,2.643579848,1.186297,2.22843,0.0258519,0.0586485
vnz_00855,13.972976,0.788340667,0.7117013,1.1076847,0.267998,0.3744142
vnz_00860,19.386211,1.011996595,0.6760717,1.4968777,0.1344251,0.2185224
vnz_00865,9.7040488,-0.216085994,0.7953744,-0.2716784,0.7858693,0.8468162
vnz_00870,13.12329,-2.759031265,0.8957128,-3.0802634,0.0020682,0.0070379
vnz_00875,3.7919217,1.985881564,1.1252099,1.7648988,0.0775808,0.141763
vnz_00880,4.1119072,3.888001328,1.2585744,3.0892105,0.0020069,0.0068802
vnz_00885,9.3662459,3.278144533,0.7508973,4.365636,1.27E-05,9.07E-05
