geneID,Name,BaseMean,Log2FC,StErr,WaldStats,P-val,P-agj,Function
vnz_35080,Terpene,7.767074316,0.477248,1.038237,0.459671876,0.645752,0.800741,Biosynthetic
vnz_05240,sIHF,1510.017371,-0.151731,0.340552972,-0.44554,0.655927,0.805153,Regulators
vnz_05285,bldD,378.3568166,0.2973355,0.35804533,0.830441,0.406289,0.615392,Regulators
vnz_05405,relA,313.4726781,-0.714164,0.336914324,-2.11972,0.03403,0.104105,Regulators
vnz_13520,mtrB,247.4798279,-1.3727,0.38920574,-3.52693,0.00042,0.002656,Regulators
vnz_13525,mtrA,414.6492697,-1.169164,0.449581844,-2.60056,0.009307,0.036951,Regulators
vnz_13755,draR,23.56581802,-0.426581,0.600289098,-0.71063,0.477316,0.679065,Regulators
vnz_13760,draK,100.230504,-0.994887,0.341797671,-2.91075,0.003606,0.016831,Regulators
vnz_15230,afsR,79.75389107,-1.030138,0.372649738,-2.76436,0.005703,0.024594,Regulators
vnz_15235,afsS,73.71797941,-0.066727,0.353617478,-0.1887,0.850329,0.930259,Regulators
vnz_15890,lsr2,336.7976478,-2.862278,0.413051646,-6.92959,4.22E-12,1.06E-10,Regulators
vnz_16460,crp,277.4486232,-0.828691,0.32324045,-2.5637,0.010356,0.040571,Regulators
vnz_19105,atrA,165.5696232,-1.081331,0.436855157,-2.47526,0.013314,0.049904,Regulators
vnz_19350,glnR,186.7084588,-1.522049,0.400296883,-3.8023,0.000143,0.001021,Regulators
vnz_19580,phoR,360.2849583,-3.413944,0.660508827,-5.16866,2.36E-07,2.77E-06,Regulators
vnz_19585,phoP,233.3357741,-3.432567,0.636791942,-5.39041,7.03E-08,9.26E-07,Regulators
vnz_21250,abrC3,49.95289597,-0.930856,0.426775253,-2.18114,0.029173,0.092419,Regulators
vnz_21255,abrC1,10.82081391,0.2065139,0.902248864,0.228888,0.818956,0.908619,Regulators
vnz_21260,abrC2,35.66081162,-0.178443,0.504960019,-0.35338,0.723803,0.851064,Regulators
vnz_22600,afsQ2,66.04773886,-1.290877,0.393341335,-3.28182,0.001031,0.005882,Regulators
vnz_22605,afsQ1,70.37879486,-1.054495,0.431476948,-2.44392,0.014529,0.053532,Regulators
vnz_24210,dasR,35.36629339,-0.440416,0.451533718,-0.97538,0.329373,0.536881,Regulators
vnz_24975,absC,118.7538715,-1.934077,0.41165863,-4.69825,2.62E-06,2.62E-05,Regulators
vnz_25930,ndgR,70.88737128,0.1327022,0.498632403,0.266132,0.790137,0.891679,Regulators
vnz_27390,cutR,40.98134825,0.934255,0.500086956,1.868185,0.061736,0.164504,Regulators
vnz_27395,cutS,45.56822565,0.7919956,0.443218359,1.78692,0.07395,0.18817,Regulators
vnz_28770,rok7b7,102.6568302,-1.281217,0.387583423,-3.30565,0.000948,0.005461,Regulators
vnz_05405,relA,313.4726781,-0.71416441,0.336914324,-2.11972112,0.034029571,0.104105,Nitrogen_phosphate
vnz_05890,glnA4,159.8341234,0.777562934,0.581625045,1.336880075,0.181261786,0.358731,Nitrogen_phosphate
vnz_07320,pitH2,229.0854276,-3.00452932,0.44174985,-6.80142692,1.04E-11,2.50E-10,Nitrogen_phosphate
vnz_08450,phoD,213.9188779,-0.81933818,0.345543532,-2.37115763,0.017732467,0.062573,Nitrogen_phosphate
vnz_09130,glnA,881.3244388,-2.72427712,0.334151248,-8.15282643,3.56E-16,1.42E-14,Nitrogen_phosphate
vnz_09185,glnII,383.8086836,-5.73301428,0.391651223,-14.6380605,1.61E-48,2.09E-45,Nitrogen_phosphate
vnz_09195,glnRII,7.724114938,-1.33030809,0.925642439,-1.43717275,0.150668915,0.315343,Nitrogen_phosphate
vnz_09440,glnA2,183.375686,-0.34544984,0.345236737,-1.00061727,0.317011876,0.524351,Nitrogen_phosphate
